File Name,Reading Level,Word Count,Hydrofracking,Hydraulic Fracturing,Hydraulic Fracking,Fracking,Fracing,Natural Gas Drilling,Gas Drilling,Utica Shale,Polarity,Subjectivity,Classification,P_POS,P_NEG
Town of New Hartford 2011.txt,16.2,1879,14,0,9,15,0,0,0,0,0.0575,0.4005,pos,1.0,0.0
Town of New Hartford 2012_ocr.txt,13.4,802,1,0,0,1,0,0,0,0,0.0241,0.3497,pos,1.0,0.0
